name,series,model,category,description,url,specifications,features,applications,images,downloaded_images
FR-A series,FR-A,,FR-A800 Plus,,https://us.mitsubishielectric.com/fa/en/products/drv/inv/items/fr-a800-plus/,{},,,,
FR-A800 Plus series,FR-A800 PLUS,,FR-A800 Plus,,https://us.mitsubishielectric.com/fa/en/products/drv/inv/items/fr-a800-plus/,{},,,,
FR-F series,FR-F,,FR-A800 Plus,,https://us.mitsubishielectric.com/fa/en/products/drv/inv/items/fr-a800-plus/,{},,,,
FR-E series,FR-E,,FR-A800 Plus,,https://us.mitsubishielectric.com/fa/en/products/drv/inv/items/fr-a800-plus/,{},,,,
FR-D series,FR-D,,FR-A800 Plus,,https://us.mitsubishielectric.com/fa/en/products/drv/inv/items/fr-a800-plus/,{},,,,
FR-D700 Field Advisory,FR-D700,,FR-A800 Plus,,https://us.mitsubishielectric.com/fa/en/products/drv/inv/items/fr-a800-plus/,{},,,,
FR-A800 series,FR-A800,,FR-A800 Plus,,https://us.mitsubishielectric.com/fa/en/products/drv/inv/items/fr-a800-plus/,{},,,,
FR-D Series,FR-D,,FR-A800 Plus,,https://us.mitsubishielectric.com/fa/en/products/drv/inv/items/fr-a800-plus/,{},,,,
FR-XC series,,,FR-A800 Plus,,https://us.mitsubishielectric.com/fa/en/products/drv/inv/items/fr-a800-plus/,{},,,,
"FR-A800-CRNInverter with various functions ideal for a crane application such as reduction in tact time, load slippage prevention, etc.",FR-A800,,FR-A800 Plus,,https://us.mitsubishielectric.com/fa/en/products/drv/inv/items/fr-a800-plus/,{},,,,
"FR-A800-R2RThe FR-A800-R2R inverter has various dedicated functions such as winding diameter calculation, providing stable winding/unwinding control independently.",FR-A800,,FR-A800 Plus,,https://us.mitsubishielectric.com/fa/en/products/drv/inv/items/fr-a800-plus/,{},,,,
,FREQROL-A800-LC,,FR-A800 Plus,,https://us.mitsubishielectric.com/fa/en/products/drv/inv/items/fr-a800-plus/,{},,,,
,FREQROL-A800-AWH,,FR-A800 Plus,,https://us.mitsubishielectric.com/fa/en/products/drv/inv/items/fr-a800-plus/,{},,,,
fr-a800plus-series-main-banner,,,FR-A800 Plus,,https://us.mitsubishielectric.com/fa/en/products/drv/inv/items/fr-a800-plus/,{},,,,
